 INFO | 2017-03-09 14:59:53,523 | Common.java | 85 | Startup activites...
 INFO | 2017-03-09 14:59:53,525 | Common.java | 85 | Test Output Directory creation successful :C:\Automation\01_iSafe_Morning_Reportv_PRE_MASTER\TestResults\2017_03_09_02_59_53_PM
 INFO | 2017-03-09 14:59:53,525 | Common.java | 85 | Log File creation successful : LogFile.log
 INFO | 2017-03-09 14:59:53,527 | Common.java | 85 | Getting value of CssStyle from Test Configuration file : Style3
 INFO | 2017-03-09 14:59:53,530 | Common.java | 85 | Getting value of CssStyle from Test Configuration file : Style3
 INFO | 2017-03-09 14:59:53,643 | Common.java | 85 | Getting value of GridExecution from Test Configuration file : Yes
 INFO | 2017-03-09 14:59:53,716 | Common.java | 85 | Getting value of AppURL from Test Configuration file : 
 INFO | 2017-03-09 14:59:53,717 | Common.java | 85 | Getting value of Tc_Settings_Excelpath from Test Configuration file : ./data/TestCaseSettings.xls
 INFO | 2017-03-09 14:59:53,737 | Common.java | 85 | Getting value of Test Suite from Test Configuration file : Regression_Suite
 INFO | 2017-03-09 14:59:53,738 | Common.java | 85 | Getting value of Test Suite from Test Configuration file : Regression_Suite
 INFO | 2017-03-09 14:59:53,738 | Common.java | 85 | Getting value of Test Suite from Test Configuration file : Regression_Suite
 INFO | 2017-03-09 14:59:53,739 | Common.java | 85 | Getting value of AppURL from Test Configuration file : 
 INFO | 2017-03-09 14:59:53,739 | Common.java | 85 | Getting value of Tc_Settings_Excelpath from Test Configuration file : ./data/TestCaseSettings.xls
 INFO | 2017-03-09 14:59:53,754 | Common.java | 85 | Getting value of Test Suite from Test Configuration file : Regression_Suite
 INFO | 2017-03-09 14:59:53,754 | Common.java | 85 | Getting value of Test Suite from Test Configuration file : Regression_Suite
 INFO | 2017-03-09 14:59:53,755 | Common.java | 85 | Getting value of Test Suite from Test Configuration file : Regression_Suite
 INFO | 2017-03-09 14:59:53,756 | Common.java | 85 | Getting value of AppURL from Test Configuration file : 
 INFO | 2017-03-09 14:59:53,756 | Common.java | 85 | Getting value of Tc_Settings_Excelpath from Test Configuration file : ./data/TestCaseSettings.xls
 INFO | 2017-03-09 14:59:53,778 | Common.java | 85 | Getting value of Test Suite from Test Configuration file : Regression_Suite
 INFO | 2017-03-09 14:59:53,778 | Common.java | 85 | Getting value of Test Suite from Test Configuration file : Regression_Suite
 INFO | 2017-03-09 14:59:53,778 | Common.java | 85 | Getting value of Test Suite from Test Configuration file : Regression_Suite
 INFO | 2017-03-09 14:59:53,779 | Common.java | 85 | Getting value of AppURL from Test Configuration file : 
 INFO | 2017-03-09 14:59:53,779 | Common.java | 85 | Getting value of Tc_Settings_Excelpath from Test Configuration file : ./data/TestCaseSettings.xls
 INFO | 2017-03-09 14:59:53,794 | Common.java | 85 | Getting value of Test Suite from Test Configuration file : Regression_Suite
 INFO | 2017-03-09 14:59:53,794 | Common.java | 85 | Getting value of Test Suite from Test Configuration file : Regression_Suite
 INFO | 2017-03-09 14:59:53,795 | Common.java | 85 | Getting value of Test Suite from Test Configuration file : Regression_Suite
 INFO | 2017-03-09 14:59:53,795 | Common.java | 85 | Getting value of AppURL from Test Configuration file : 
 INFO | 2017-03-09 14:59:53,796 | Common.java | 85 | Getting value of Tc_Settings_Excelpath from Test Configuration file : ./data/TestCaseSettings.xls
 INFO | 2017-03-09 14:59:53,811 | Common.java | 85 | Getting value of Test Suite from Test Configuration file : Regression_Suite
 INFO | 2017-03-09 14:59:53,811 | Common.java | 85 | Getting value of Test Suite from Test Configuration file : Regression_Suite
 INFO | 2017-03-09 14:59:53,811 | Common.java | 85 | Getting value of Test Suite from Test Configuration file : Regression_Suite
 INFO | 2017-03-09 14:59:53,812 | Common.java | 85 | Getting value of AppURL from Test Configuration file : 
 INFO | 2017-03-09 14:59:53,812 | Common.java | 85 | Getting value of Tc_Settings_Excelpath from Test Configuration file : ./data/TestCaseSettings.xls
 INFO | 2017-03-09 14:59:53,838 | Common.java | 85 | Getting value of Test Suite from Test Configuration file : Regression_Suite
 INFO | 2017-03-09 14:59:53,839 | Common.java | 85 | Getting value of Test Suite from Test Configuration file : Regression_Suite
 INFO | 2017-03-09 14:59:53,839 | Common.java | 85 | Getting value of Test Suite from Test Configuration file : Regression_Suite
 INFO | 2017-03-09 14:59:53,839 | Common.java | 85 | Getting value of AppURL from Test Configuration file : 
 INFO | 2017-03-09 14:59:53,840 | Common.java | 85 | Getting value of Tc_Settings_Excelpath from Test Configuration file : ./data/TestCaseSettings.xls
 INFO | 2017-03-09 14:59:53,856 | Common.java | 85 | Getting value of Test Suite from Test Configuration file : Regression_Suite
 INFO | 2017-03-09 14:59:53,857 | Common.java | 85 | Getting value of Test Suite from Test Configuration file : Regression_Suite
 INFO | 2017-03-09 14:59:53,857 | Common.java | 85 | Getting value of Test Suite from Test Configuration file : Regression_Suite
 INFO | 2017-03-09 14:59:53,857 | Common.java | 85 | Getting value of AppURL from Test Configuration file : 
 INFO | 2017-03-09 14:59:53,858 | Common.java | 85 | Getting value of Tc_Settings_Excelpath from Test Configuration file : ./data/TestCaseSettings.xls
 INFO | 2017-03-09 14:59:53,871 | Common.java | 85 | Getting value of Test Suite from Test Configuration file : Regression_Suite
 INFO | 2017-03-09 14:59:53,871 | Common.java | 85 | Getting value of Test Suite from Test Configuration file : Regression_Suite
